Date, Max_Temp, Min_Temp, Avg_Temp, Dep_Temp, HDD, CDD, Precipitation, New_Snow, Snow_Depth
2022-05-01, 56, 49, 52.5, -2.9, 12, 0, T, 0.0, 0
2022-05-02, 54, 48, 51.0, -4.7, 14, 0, T, 0.0, 0
2022-05-03, 50, 44, 47.0, -9.1, 18, 0, 1.31, 0.0, 0
2022-05-04, 56, 39, 47.5, -8.9, 17, 0, 0.00, 0.0, 0
2022-05-05, 53, 42, 47.5, -9.3, 17, 0, 0.32, 0.0, 0
2022-05-06, 53, 47, 50.0, -7.2, 15, 0, 0.29, 0.0, 0
2022-05-07, 64, 43, 53.5, -4.0, 11, 0, 0.00, 0.0, 0
2022-05-08, 65, 43, 54.0, -3.8, 11, 0, 0.00, 0.0, 0
2022-05-09, 83, 56, 69.5, 11.3, 0, 5, 0.00, 0.0, 0
2022-05-10, 89, 69, 79.0, 20.5, 0, 14, 0.00, 0.0, 0
2022-05-11, 90, 74, 82.0, 23.1, 0, 17, 0.00, 0.0, 0
2022-05-12, 91, 74, 82.5, 23.3, 0, 18, 0.00, 0.0, 0
2022-05-13, 89, 68, 78.5, 18.9, 0, 14, 0.00, 0.0, 0
2022-05-14, 86, 67, 76.5, 16.6, 0, 12, 0.00, 0.0, 0
2022-05-15, 76, 58, 67.0, 6.8, 0, 2, T, 0.0, 0
2022-05-16, 78, 54, 66.0, 5.4, 0, 1, 0.00, 0.0, 0
2022-05-17, 68, 51, 59.5, -1.4, 5, 0, T, 0.0, 0
2022-05-18, 60, 52, 56.0, -5.2, 9, 0, 0.29, 0.0, 0
2022-05-19, 86, 53, 69.5, 7.9, 0, 5, 0.02, 0.0, 0
2022-05-20, 86, 58, 72.0, 10.1, 0, 7, 0.46, 0.0, 0
2022-05-21, 62, 54, 58.0, -4.3, 7, 0, 0.42, 0.0, 0
2022-05-22, 63, 50, 56.5, -6.1, 8, 0, 0.00, 0.0, 0
2022-05-23, 61, 45, 53.0, -9.9, 12, 0, 0.00, 0.0, 0
2022-05-24, 66, 49, 57.5, -5.8, 7, 0, 0.00, 0.0, 0
2022-05-25, 79, 54, 66.5, 2.9, 0, 2, 0.22, 0.0, 0
2022-05-26, 77, 64, 70.5, 6.6, 0, 6, T, 0.0, 0
2022-05-27, 64, 51, 57.5, -6.8, 7, 0, 0.14, 0.0, 0
2022-05-28, 74, 49, 61.5, -3.1, 3, 0, 0.00, 0.0, 0
2022-05-29, 85, 63, 74.0, 9.0, 0, 9, 0.00, 0.0, 0
2022-05-30, 89, 70, 79.5, 14.2, 0, 15, 0.00, 0.0, 0
2022-05-31, 86, 74, 80.0, 14.4, 0, 15, T, 0.0, 0
